rank,feature_id,benchmark,task_id,task_idx,source_text,tokens,filename,rms_normalized,transition,max_activation,position,position_percent,token_text,context,encoder_base_contribution,encoder_finetuned_contribution
1,3048,humanevalplus,HumanEval/94,94,deepseek_finetuned,141,same_text__humanevalplus__task_0094__gen_01__HumanEval_94.npz,True,both_pass,24.945999145507812,76,53.90070921985816,_,"it) for digit in str(largest_prime))\n\n    return prime_sum\n\n\ndef is_prime(num):\n    """"""Check if a number is prime""""""\n    if num < 2:\n        return",12.211527824401855,12.741767883300781
2,3048,humanevalplus,HumanEval/143,143,deepseek_finetuned,106,same_text__humanevalplus__task_0143__gen_01__HumanEval_143.npz,True,improvement,24.44855499267578,45,42.45283018867924,_,"_prime(len(word))]\n    return "" "".join(prime_words)\n\n\ndef is_prime(num):\n    if num < 2:\n        return False\n    for i in range(2,",12.114553451538086,12.341293334960938
3,3048,humanevalplus,HumanEval/10,10,deepseek_finetuned,71,same_text__humanevalplus__task_0010__gen_01__HumanEval_10.npz,True,improvement,23.935468673706055,31,43.66197183098591,_," return string\n\n    for i in range(len(string), 0, -1):\n        if is_palindrome(string[-i:]):\n            return string + string[:-i][::-1]\n",12.208908081054688,11.73385238647461
4,3048,humanevalplus,HumanEval/10,10,deepseek_base,58,same_text__humanevalplus__task_0010__gen_00__HumanEval_10.npz,True,improvement,23.934057235717773,30,51.724137931034484,_,"        return string\n    for i in range(len(string), 0, -1):\n        if is_palindrome(string[:i]):\n            return string + string[:i][::-1]\n   ",12.196534156799316,11.744817733764648
5,3048,humanevalplus,HumanEval/127,127,deepseek_base,198,same_text__humanevalplus__task_0127__gen_00__HumanEval_127.npz,True,regression,23.89581298828125,81,40.90909090909091,_,"1]) - max(interval1[0], interval2[0])) else ""NO""\n\n\ndef is_prime(n):\n    if n < 2:\n        return False\n    for i in range(2,",12.080690383911133,11.82243824005127
6,3048,humanevalplus,HumanEval/138,138,deepseek_base,63,same_text__humanevalplus__task_0138__gen_00__HumanEval_138.npz,True,both_fail,23.453651428222656,41,65.07936507936508,_,":\n        for i in range(2, n // 2 + 1, 2):\n            if is_equal_to_sum_even(n - i):\n                return True\n        return False\n",12.105904579162598,11.355046272277832
7,3048,humanevalplus,HumanEval/94,94,deepseek_base,162,same_text__humanevalplus__task_0094__gen_00__HumanEval_94.npz,True,both_pass,22.8245906829834,34,20.987654320987655,_, in str(max(i for i in lst if is_prime(i))))\n\n\ndef is_prime(n):\n    if n == 2 or n == 3:\n        return True\n    if n < ,11.029112815856934,11.802778244018555
8,3048,bigcodebench,BigCodeBench/876,876,deepseek_base,512,same_text__bigcodebench__task_0876__gen_00__BigCodeBench_876.npz,True,both_fail,21.81368064880371,125,24.4140625,def,"directory, backup_directory)\n\n    return data_dict, sorted_dict, backup_status\n\n\ndef backup_files(source_directory, backup_directory):\n    """"""\n    Backup all files from a source",10.172216415405273,11.648764610290527
9,3048,bigcodebench,BigCodeBench/184,184,deepseek_finetuned,278,same_text__bigcodebench__task_0184__gen_01__BigCodeBench_184.npz,True,improvement,21.708213806152344,135,48.56115107913669,def,"toarray(), columns=vectorizer.get_feature_names_out())\n\n    return result\n\n\ndef preprocess_text(text):\n    """"""\n    Helper function to preprocess the text by removing stopwords",10.246416091918945,11.469108581542969
10,3048,humanevalplus,HumanEval/76,76,deepseek_base,40,same_text__humanevalplus__task_0076__gen_00__HumanEval_76.npz,True,regression,21.4245548248291,28,70.0,_,"1:\n        return True\n    if x % n != 0:\n        return False\n    return is_simple_power(x / n, n)\n",11.055224418640137,10.376626014709473
