task_id,group,source_text,base_failed,finetuned_failed,evaluated_tokens,same_text_mean_delta_norm,same_text_rms_token_delta,same_text_pc1_explained_energy,mean_delta_cosine_pc1,peak_delta_token_index,peak_delta_token_norm,peak_delta_text,peak_delta_token_id
HumanEval/18,base_pass_finetuned_fail,deepseek_base,False,True,99,60.566062927246094,90.8546142578125,0.45043841004371643,0.9998809695243835,10,92.27424621582031,       ,436
HumanEval/18,base_pass_finetuned_fail,deepseek_finetuned,False,True,64,35.894596099853516,63.99999237060547,0.319059818983078,0.9991245865821838,7,64.0, = ,1412
HumanEval/39,base_pass_finetuned_fail,deepseek_base,False,True,192,36.14485549926758,87.31590270996094,0.17698043584823608,0.9980348348617554,101,91.80674743652344,2,17
HumanEval/39,base_pass_finetuned_fail,deepseek_finetuned,False,True,108,60.16216278076172,90.38685607910156,0.44954267144203186,0.999636173248291,46,91.77012634277344,num,6487
HumanEval/49,base_pass_finetuned_fail,deepseek_base,False,True,11,74.90782165527344,90.28811645507812,0.6886985898017883,0.99998539686203,6,91.27046966552734, n,291
HumanEval/49,base_pass_finetuned_fail,deepseek_finetuned,False,True,46,34.847694396972656,63.99999237060547,0.3090420067310333,0.9969565272331238,2,63.999996185302734, n,291
HumanEval/70,base_pass_finetuned_fail,deepseek_base,False,True,141,35.74233627319336,87.39181518554688,0.17512623965740204,0.9913120269775391,52,92.05867004394531, i,460
HumanEval/70,base_pass_finetuned_fail,deepseek_finetuned,False,True,35,43.004478454589844,74.162841796875,0.41544076800346375,0.9590063691139221,11,92.56505584716797,\n,185
HumanEval/76,base_pass_finetuned_fail,deepseek_base,False,True,40,43.415287017822266,75.97982025146484,0.4046684801578522,0.9530989527702332,33,92.11466979980469,x,87
HumanEval/76,base_pass_finetuned_fail,deepseek_finetuned,False,True,41,42.67708206176758,75.01739501953125,0.39935922622680664,0.9539326429367065,32,92.08517456054688,       ,436
HumanEval/82,base_pass_finetuned_fail,deepseek_base,False,True,104,43.43231964111328,82.69427490234375,0.30663758516311646,0.9901190996170044,88,91.39761352539062,7,22
HumanEval/82,base_pass_finetuned_fail,deepseek_finetuned,False,True,47,41.052494049072266,72.080078125,0.36720287799835205,0.9655408263206482,25,92.39012908935547,2,17
HumanEval/127,base_pass_finetuned_fail,deepseek_base,False,True,77,35.344215393066406,84.08589935302734,0.18564951419830322,0.9918346405029297,35,91.85254669189453,\n,185
