rank,feature_id,benchmark,task_id,task_idx,source_text,tokens,filename,rms_normalized,transition,max_activation,position,position_percent,token_text,context,encoder_base_contribution,encoder_finetuned_contribution
1,9537,bigcodebench,BigCodeBench/668,668,deepseek_base,484,same_text__bigcodebench__task_0668__gen_00__BigCodeBench_668.npz,True,improvement,31.640853881835938,204,42.14876033057851,_," task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        self.assertEqual(task_func({'a': 1, 'b",15.043822288513184,16.603565216064453
2,9537,bigcodebench,BigCodeBench/934,934,deepseek_base,244,same_text__bigcodebench__task_0934__gen_00__BigCodeBench_934.npz,True,both_fail,31.44331932067871,148,60.65573770491803,_," task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        self.assertEqual(task_func('abracadabra'), 'bc9",15.194588661193848,16.255229949951172
3,9537,humanevalplus,HumanEval/140,140,deepseek_base,176,same_text__humanevalplus__task_0140__gen_00__HumanEval_140.npz,True,both_fail,31.42432403564453,91,51.70454545454545,_,"aces import fix_spaces\n\nclass TestFixSpaces(unittest.TestCase):\n    def test_fix_spaces(self):\n        self.assertEqual(fix_spaces(""Example""), ""Example"")\n",15.99605941772461,15.43477725982666
4,9537,bigcodebench,BigCodeBench/1027,1027,deepseek_base,456,same_text__bigcodebench__task_1027__gen_00__BigCodeBench_1027.npz,True,both_fail,30.98322296142578,251,55.04385964912281,_,_1 import task_func\n\n\nclass TestTask1(unittest.TestCase):\n    def test_valid_hex_string(self):\n        url = 'https://www.example.com?q=4,14.783486366271973,16.206266403198242
5,9537,bigcodebench,BigCodeBench/931,931,deepseek_base,293,same_text__bigcodebench__task_0931__gen_00__BigCodeBench_931.npz,True,improvement,30.65306854248047,197,67.23549488054607,_," task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        self.assertEqual(task_func('abcdef'), {'ab': 1",14.660804748535156,15.998778343200684
6,9537,humanevalplus,HumanEval/95,95,deepseek_base,382,same_text__humanevalplus__task_0095__gen_00__HumanEval_95.npz,True,improvement,30.315217971801758,120,31.413612565445025,_," check_dict_case\n\nclass TestCheckDictCase(unittest.TestCase):\n    def test_check_dict_case_1(self):\n        self.assertEqual(check_dict_case({""a",15.437185287475586,14.884538650512695
7,9537,bigcodebench,BigCodeBench/932,932,deepseek_base,513,same_text__bigcodebench__task_0932__gen_00__BigCodeBench_932.npz,True,improvement,30.263742446899414,227,44.2495126705653,_," task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_empty_string(self):\n        self.assertEqual(task_func(""""), [])\n\n    def test",14.459373474121094,15.81088638305664
8,9537,bigcodebench,BigCodeBench/270,270,deepseek_base,173,same_text__bigcodebench__task_0270__gen_00__BigCodeBench_270.npz,True,improvement,29.9683780670166,67,38.72832369942196,_," task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        # Test case 1\n        sentence = ""apple banana apple orange orange",14.328141212463379,15.646753311157227
9,9537,bigcodebench,BigCodeBench/172,172,deepseek_base,301,same_text__bigcodebench__task_0172__gen_00__BigCodeBench_172.npz,True,improvement,29.714628219604492,183,60.79734219269103,_," task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_weekend(self):\n        json_data = '{""utc_datetime"": ""2024-",14.348955154418945,15.37218952178955
10,9537,bigcodebench,BigCodeBench/874,874,deepseek_base,227,same_text__bigcodebench__task_0874__gen_00__BigCodeBench_874.npz,True,improvement,29.67119598388672,119,52.42290748898679,_,"_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n\n    def test_empty_list(self):\n        self.assertEqual(task_func([]), [])\n\n    def",14.366132736206055,15.311579704284668
11,9537,bigcodebench,BigCodeBench/736,736,deepseek_base,197,same_text__bigcodebench__task_0736__gen_00__BigCodeBench_736.npz,True,improvement,29.623512268066406,99,50.253807106598984,_," task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        # Test case 1\n        L = [[1, 2, ",14.321297645568848,15.308725357055664
12,9537,bigcodebench,BigCodeBench/666,666,deepseek_base,371,same_text__bigcodebench__task_0666__gen_00__BigCodeBench_666.npz,True,improvement,29.592721939086914,230,61.99460916442049,_, task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        # Test case 1: Simple case\n        seq = 'abc',14.301755905151367,15.297477722167969
13,9537,bigcodebench,BigCodeBench/275,275,deepseek_base,276,same_text__bigcodebench__task_0275__gen_00__BigCodeBench_275.npz,True,improvement,29.477340698242188,132,47.82608695652174,_, task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_valid_input(self):\n        # Test with valid input\n        self.assertEqual(task_func(3,14.077665328979492,15.406177520751953
14,9537,bigcodebench,BigCodeBench/670,670,deepseek_base,286,same_text__bigcodebench__task_0670__gen_00__BigCodeBench_670.npz,True,both_fail,29.26213264465332,168,58.74125874125874,_, task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        # Test case 1\n        x = 'c'\n        w =,14.001951217651367,15.266695976257324
15,9537,bigcodebench,BigCodeBench/733,733,deepseek_base,257,same_text__bigcodebench__task_0733__gen_00__BigCodeBench_733.npz,True,both_fail,29.254730224609375,164,63.81322957198444,_, task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        # Test case 1: Sentence with no stop words\n        content =,14.02715015411377,15.234087944030762
16,9537,bigcodebench,BigCodeBench/737,737,deepseek_base,302,same_text__bigcodebench__task_0737__gen_00__BigCodeBench_737.npz,True,both_fail,29.098506927490234,191,63.24503311258278,_," task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        # Test case 1\n        L = [[1, 2, ",13.673105239868164,15.431922912597656
17,9537,bigcodebench,BigCodeBench/176,176,deepseek_base,414,same_text__bigcodebench__task_0176__gen_00__BigCodeBench_176.npz,True,both_fail,29.003955841064453,260,62.80193236714976,_, task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_valid_ip_addresses(self):\n        ip_addresses = ['8.8.8.8,14.200994491577148,14.809483528137207
18,9537,bigcodebench,BigCodeBench/738,738,deepseek_base,500,same_text__bigcodebench__task_0738__gen_00__BigCodeBench_738.npz,True,improvement,28.92643165588379,103,20.6,_, task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        # Test case 1: Empty list\n        self.assertEqual(task,13.879293441772461,15.053682327270508
